time,AAPL_Close,MSFT_Close,AMZN_Close,FB_Close,GOOGL_Close
2019-12-20 00:00:00-05:00,279.28,157.39,1786.57,206.29,1351.21
2019-12-23 00:00:00-05:00,283.97,157.41,1793.0,206.18,1350.27
2019-12-24 00:00:00-05:00,284.2762,157.39,1789.63,205.15,1344.74
2019-12-26 00:00:00-05:00,289.91,158.67,1869.02,207.79,1362.16
2019-12-27 00:00:00-05:00,289.83,158.95,1869.26,208.1,1354.64
2019-12-30 00:00:00-05:00,291.647,157.68,1847.18,204.41,1340.47
2019-12-31 00:00:00-05:00,293.37,157.49,1847.64,205.09,1338.12
2020-01-02 00:00:00-05:00,300.58,160.73,1897.71,209.78,1368.68
2020-01-03 00:00:00-05:00,297.38,158.59,1874.93,208.51,1360.4
2020-01-06 00:00:00-05:00,299.78,159.02,1903.33,212.5855,1397.43
2020-01-07 00:00:00-05:00,298.27,157.6,1906.86,213.05,1395.55
2020-01-08 00:00:00-05:00,303.15,160.14,1892.09,215.3,1405.48
2020-01-09 00:00:00-05:00,309.71,162.09,1901.0,218.31,1420.15
2020-01-10 00:00:00-05:00,310.37,161.32,1882.98,218.07,1429.37
2020-01-13 00:00:00-05:00,316.97,163.28,1891.41,221.96,1440.71
2020-01-14 00:00:00-05:00,312.69,162.15,1869.2,219.06,1430.36
2020-01-15 00:00:00-05:00,311.5,163.29,1862.01,221.21,1439.21
2020-01-16 00:00:00-05:00,315.33,166.21,1877.95,221.86,1450.7
2020-01-17 00:00:00-05:00,318.67,167.05,1864.71,222.13,1479.75
2020-01-21 00:00:00-05:00,316.55,166.49,1892.55,221.47,1482.75
2020-01-22 00:00:00-05:00,317.7,165.69,1887.46,221.29,1483.56
2020-01-23 00:00:00-05:00,319.2899,166.72,1884.58,219.67,1484.02
2020-01-24 00:00:00-05:00,318.33,165.04,1861.64,217.929,1466.05
2020-01-27 00:00:00-05:00,308.96,162.26,1828.89,214.87,1431.43
2020-01-28 00:00:00-05:00,317.76,165.46,1853.33,217.79,1449.61
2020-01-29 00:00:00-05:00,324.32,168.18,1858.0,223.31,1456.47
2020-01-30 00:00:00-05:00,323.8762,172.74,1870.8896,209.58,1454.3
2020-01-31 00:00:00-05:00,309.33,170.17,2007.75,201.89,1432.68
2020-02-03 00:00:00-05:00,308.71,174.39,2003.25,204.19,1482.6
2020-02-04 00:00:00-05:00,318.86,180.13,2049.78,209.87,1446.37
2020-02-05 00:00:00-05:00,321.58,179.94,2039.62,210.23,1446.83
2020-02-06 00:00:00-05:00,325.21,183.64,2050.37,210.87,1476.195
2020-02-07 00:00:00-05:00,320.04,183.95,2079.21,212.34,1479.22
2020-02-10 00:00:00-05:00,321.54,188.74,2134.55,213.1,1508.87
2020-02-11 00:00:00-05:00,319.61,184.44,2152.27,207.15,1510.15
2020-02-12 00:00:00-05:00,327.2,184.72,2161.34,210.755,1519.43
2020-02-13 00:00:00-05:00,324.91,183.76,2151.12,213.12,1513.54
2020-02-14 00:00:00-05:00,324.94,185.35,2135.48,214.18,1519.6
2020-02-18 00:00:00-05:00,319.0,187.22,2155.67,217.76,1519.44
2020-02-19 00:00:00-05:00,323.62,187.28,2170.21,217.5,1524.88
2020-02-20 00:00:00-05:00,320.3,184.33,2153.59,214.58,1516.97
2020-02-21 00:00:00-05:00,313.03,178.56,2095.97,210.16,1483.47
2020-02-24 00:00:00-05:00,298.17,170.88,2008.74,200.73,1419.37
2020-02-25 00:00:00-05:00,288.08,168.05,1970.65,196.64,1386.22
2020-02-26 00:00:00-05:00,292.69,170.16,1979.61,197.18,1390.63
2020-02-27 00:00:00-05:00,273.04,158.0,1882.88,189.69,1314.72
2020-02-28 00:00:00-05:00,274.64,162.11,1889.18,192.74,1341.16
2020-03-02 00:00:00-05:00,298.82,172.85,1954.0,196.54,1386.6401
2020-03-03 00:00:00-05:00,289.31,164.38,1908.88,185.89,1337.72
2020-03-04 00:00:00-05:00,302.76,170.54,1976.46,191.79,1380.92
2020-03-05 00:00:00-05:00,292.92,166.24,1924.03,185.02,1315.33
2020-03-06 00:00:00-05:00,288.98,161.57,1901.14,181.11,1295.69
2020-03-09 00:00:00-04:00,266.09,150.62,1800.01,168.6,1210.68
2020-03-10 00:00:00-04:00,285.69,161.03,1894.0,178.19,1275.85
2020-03-11 00:00:00-04:00,275.3,153.56,1819.63,170.22,1210.65
2020-03-12 00:00:00-04:00,248.0,138.76,1676.21,154.46,1110.76
2020-03-13 00:00:00-04:00,278.06,158.85,1786.31,170.62,1214.3699
2020-03-16 00:00:00-04:00,241.47,135.4144,1688.0,145.96,1073.01
